URL,Title,Article number,Price,Pictures,OLX category,OLX category URL,Description
https://www.einhell.ba/shop/bs-ba/tc-tc-618.html,Rezač pločica TC-TC 618,4301180,Prazno polje,https:\\assets.einhell.com\im\imf\y400\900_389357\einhell-classic-reza\u010d-plo\u010dica-tc-tc-618-productimage-1.jpg,Za obradu keramike i stakla,https://www.olx.ba/objava/brzaobjava/1179,"<div class=""product attribute description"">
    <strong class=""type""></strong>    <div class=""value"" >Rezač pločica TC-TC 618 je kompaktan pomoćnik i jednostavan za transport za precizno rezanje zidnih i podnih pločica za unutarnje radove. Veliki radni stol osigurava sigurnu podršku za navođenje uobičajenih veličina pločica. Za čiste, Jolly rezove on je dodatno podložan i opremljen s lako razumljivom kutnom skalom. Za sigurno pričvršćivanje, čelični stol se također može dvostruko zaključati. Zahvaljujući robusnoj ogradi sa skalom za podešavanje širine rezanja, ovaj uređaj omogućuje jednostavne Jolly i kutne rezove kao i precizne uzdužne rezove neograničene duljine. Dodatni kutni graničnik omogućuje brzo i precizno rezanje pod kutom od 45 °. Isporučena dijamantna rezna ploča radi u spremniku za vodu, koji stalno hladi reznu ploču i istovremeno sprječava stvaranje prašine, za čiste hladne rezove u svakom trenutku. Najveća moguća radna sigurnost korisnika pruža zaštita noža. Robusni okvir ovog stroja za rezanje pločica opremljen je plastičnim nožicama koje se ne kližu za sigurno stajanje u mobilnoj uporabi ili se mogu lako montirati na radne stolove zahvaljujući integriranim montažnim rupama, za trajnu uporabu kao stacionarni uređaj. Isporuka uključuje dijamantnu reznu ploču i alat za promjenu noževa.</div><br><div class=""data item content"" id=""label-technical_infos"" data-role=""content"">
                    <div class=""property-0 clearfix""><table><tr><th colspan=""2"" class=""heading gamma"">Technical Info</th></tr><tr class=""""><td><strong>Mrežni priključak</strong></td><td>230 V  |  50 Hz</td></tr><tr class=""grey""><td><strong>maks. Snaga (S2 | S2 vrijeme)</strong></td><td>600 W  |  10 min</td></tr><tr class=""""><td><strong>Brzina praznog hoda</strong></td><td>3000 min^-1</td></tr><tr class=""grey""><td><strong>Maks. visina rezanja pod 45°</strong></td><td>22 mm</td></tr><tr class=""""><td><strong>Maks. visina rezanja pod 90°</strong></td><td>35 mm</td></tr><tr class=""grey""><td><strong>Dijamantna rezna ploča</strong></td><td>180 mm  x  25.4 mm</td></tr><tr class=""""><td><strong>Swiveling range of cutting disc</strong></td><td>45 °</td></tr><tr class=""grey""><td><strong>Vrsta zaštite</strong></td><td>IP54</td></tr><tr class=""""><td><strong>Veličina radnog stola</strong></td><td>330 mm  x  360 mm</td></tr></table><table><tr><th colspan=""2"" class=""heading gamma"">Logistical Info</th></tr><tr class=""""><td><strong>Dužina</strong></td><td>370 mm</td></tr><tr class=""grey""><td><strong>Širina</strong></td><td>345 mm</td></tr><tr class=""""><td><strong>Visina</strong></td><td>190 mm</td></tr><tr class=""grey""><td><strong>Bruto težina proizvoda</strong></td><td>8.87 kg</td></tr><tr class=""""><td><strong>Težina proizvoda</strong></td><td>7.4 kg</td></tr></table></div>"
https://www.einhell.ba/shop/bs-ba/tc-ms-2513-t.html,Preklopna pila sa stolom TC-MS 2513 T,4300345,Prazno polje,https:\\assets.einhell.com\im\imf\y400\900_391795\einhell-classic-preklopna-pila-sa-stolom-tc-ms-2513-t-productimage-1.jpg,Štuceri \(Potezni cirkulari\),https://www.olx.ba/objava/brzaobjava/1942,"<div class=""product attribute description"">
    <strong class=""type""></strong>    <div class=""value"" >Einhell kombinirana kružna i preklopna pila TC-MS 2513 T je kvalitetna pila za ambiciozne uradi sam majstore pomoću koje s lakoćom možete odrađivati manje poslove poprečnih i kutnih rezova u drvu, obloženim pločama i plastici. Zahvaljujući praktičnom, beskonačno podesivom stolu pile, TC-MS 2513 T možete koristiti i kao klasičnu stolnu kružnu pilu. Visokokvalitetno rotirajuće postolje ima precizno podešavanje kuta koje se može odrediti beskonačno i to samo s jednom rukom. Glava pile, isto tako beskonačno podesiva na lijevo, omogućava kose rezove i rubljenje u svaki potrebni kut do 45°. Radni materijali se mogu precizno odrezati zahvaljujući poprečnom i paralelnom graničniku te se mogu osloniti na dodatne produžetke sa svake strane pile. Priključak za usisavač prašine od 35 mm omogućuje čisto radno mjesto.</div><br><div class=""data item content"" id=""label-technical_infos"" data-role=""content"">
                    <div class=""property-0 clearfix""><table><tr><th colspan=""2"" class=""heading gamma"">Technical Info</th></tr><tr class=""""><td><strong>Mrežni priključak</strong></td><td>230-240 V  |  50 Hz</td></tr><tr class=""grey""><td><strong>Snaga</strong></td><td>1800 W</td></tr><tr class=""""><td><strong>Broj reznih zuba</strong></td><td>36 Pieces</td></tr><tr class=""grey""><td><strong>Brzina praznog hoda</strong></td><td>4500 min^-1</td></tr><tr class=""""><td><strong>Tračna traka</strong></td><td>30 mm  x  250 mm</td></tr><tr class=""grey""><td><strong>Funkcija rezača</strong></td><td>45 °</td></tr><tr class=""""><td><strong>Širina rezanja</strong></td><td>130 mm  x  75 mm</td></tr><tr class=""grey""><td><strong>Širina rezanja</strong></td><td>90 mm  x  75 mm</td></tr><tr class=""""><td><strong>Širina rezanja</strong></td><td>120 mm  x  50 mm</td></tr><tr class=""grey""><td><strong>Širina rezanja</strong></td><td>70 mm  x  35 mm</td></tr><tr class=""""><td><strong>Raspon zakretanja (stol pile)</strong></td><td>-45 °  -  45 °</td></tr><tr class=""grey""><td><strong>Maks. visina rezanja pod 90°</strong></td><td>40 mm</td></tr><tr class=""""><td><strong>Kontinuirano podešavanje visine</strong></td><td>40 mm</td></tr><tr class=""grey""><td><strong>Veličina radnog stola</strong></td><td>302 mm  x  408 mm</td></tr></table><table><tr><th colspan=""2"" class=""heading gamma"">Logistical Info</th></tr><tr class=""""><td><strong>Dužina</strong></td><td>545 mm</td></tr><tr class=""grey""><td><strong>Širina</strong></td><td>470 mm</td></tr><tr class=""""><td><strong>Visina</strong></td><td>375 mm</td></tr><tr class=""grey""><td><strong>Bruto težina proizvoda</strong></td><td>15.5 kg</td></tr><tr class=""""><td><strong>Težina proizvoda</strong></td><td>13.5 kg</td></tr></table></div>"
https://www.einhell.ba/shop/bs-ba/tc-gg-30.html,Pištolj za vruće ljepljenje TC-GG 30,4522170,Prazno polje,https:\\assets.einhell.com\im\imf\y400\900_405560\einhell-classic-pi&scaron;tolj-za-vru\u0107e-ljepljenje-tc-gg-30-productimage-1.jpg,Alati na vruć zrak,https://www.olx.ba/objava/brzaobjava/2538,"<div class=""product attribute description"">
    <strong class=""type""></strong>    <div class=""value"" >Univerzalni pištolj za vruće lijepljenje namijenjen za brzo i jednostavno spajanje drva, plastike, tekstila, kartona, keramike, kože i dr. TC-GG 30 služi kreativnim majstorima za vlastite projekte, ali također može pružiti brzu i učinkovitu pomoć kada dođe do manjih nezgoda. Ovaj pištolj za vruće ljepilo ima funkciju mehaničkog uvlačenja patrona za selektivnu primjenu te mali s prozorčić za promatranje koji će vam pomoći u radu. Ergonomska ručka omogućava neumorni rad čak i tijekom dugotrajnih projekata. Nastavak za odlaganje omogućava pohranu bez problema. U kompletu dolazi sa standardnom mlaznicom, ravnom mlaznicom, produženom mlaznicom i 3 komada patrona. </div><br><div class=""data item content"" id=""label-technical_infos"" data-role=""content"">
                    <div class=""property-0 clearfix""><table><tr><th colspan=""2"" class=""heading gamma"">Technical Info</th></tr><tr class=""""><td><strong>Mrežni priključak</strong></td><td>220-240 V  |  50 Hz</td></tr><tr class=""grey""><td><strong>Snaga</strong></td><td>30 W</td></tr><tr class=""""><td><strong>Snaga zagrijavanja</strong></td><td>200 W</td></tr><tr class=""grey""><td><strong>Vrijeme zagrijavanja</strong></td><td>300 s</td></tr><tr class=""""><td><strong>Radna temperatura</strong></td><td>195 °C</td></tr><tr class=""grey""><td><strong>Promjer patrona</strong></td><td>11 mm</td></tr></table><table><tr><th colspan=""2"" class=""heading gamma"">Logistical Info</th></tr><tr class=""""><td><strong>Dužina</strong></td><td>163 mm</td></tr><tr class=""grey""><td><strong>Širina</strong></td><td>60 mm</td></tr><tr class=""""><td><strong>Visina</strong></td><td>215 mm</td></tr><tr class=""grey""><td><strong>Bruto težina proizvoda</strong></td><td>0.4</td></tr><tr class=""""><td><strong>Težina proizvoda</strong></td><td>0.2</td></tr></table></div>"
https://www.einhell.ba/shop/bs-ba/tc-hp-1334.html,Visokotlačni perač TC-HP 1334,4140710,Prazno polje,https:\\assets.einhell.com\im\imf\y400\900_395832\einhell-classic-visokotla\u010dni-pera\u010d-tc-hp-1334-productimage-1.jpg,Za pranje i čišćenje,https://www.olx.ba/objava/brzaobjava/1183,"<div class=""product attribute description"">
    <strong class=""type""></strong>    <div class=""value"" >TC-HP 1334 je visokokvalitetni i snažni visokotlačni perač koji se odlikuje svojom snagom tijekom korištenja u mobilnim uvjetima radi svoje male i kompaktne konstrukcije. Odličan je za rad u vrtu, okućnici ili garaži, a čišćenje se može odraditi vrlo brzo i temeljito radi snage od 1.300 W i pritiska od 100 bara. Zbog svojeg spremnika deterdženta od 0.45 litara čak i zahtjevni zadaci poput pranja vozila ili fasade mogu biti jednostavno i temeljito obavljeni. Centralna drška i težina od samo 4.1 kg pružaju vrlo jednostavan i lagani transport perača i opreme.</div><br><div class=""data item content"" id=""label-technical_infos"" data-role=""content"">
                    <div class=""property-0 clearfix""><table><tr><th colspan=""2"" class=""heading gamma"">Technical Info</th></tr><tr class=""""><td><strong>Mrežni priključak</strong></td><td>220-240 V  |  50 Hz</td></tr><tr class=""grey""><td><strong>Snaga</strong></td><td>1300 W</td></tr><tr class=""""><td><strong>Pressure max.</strong></td><td>100 bar</td></tr><tr class=""grey""><td><strong>Maks. temperatura vode</strong></td><td>40 °C</td></tr><tr class=""""><td><strong>Maks. ulazni tlak</strong></td><td>6 bar</td></tr><tr class=""grey""><td><strong>Dužina visokotlačnog crijeva</strong></td><td>3 m</td></tr></table><table><tr><th colspan=""2"" class=""heading gamma"">Logistical Info</th></tr><tr class=""""><td><strong>Dužina</strong></td><td>248 mm</td></tr><tr class=""grey""><td><strong>Širina</strong></td><td>210 mm</td></tr><tr class=""""><td><strong>Visina</strong></td><td>473 mm</td></tr><tr class=""grey""><td><strong>Bruto težina proizvoda</strong></td><td>6.45 kg</td></tr><tr class=""""><td><strong>Težina proizvoda</strong></td><td>5.05 kg</td></tr></table></div>"
https://www.einhell.ba/shop/bs-ba/tc-ts-820.html,Stolna kružna pila TC-TS 820,4340410,Prazno polje,https:\\assets.einhell.com\im\imf\y400\900_396468\einhell-classic-stolna-kru\u017ena-pila-tc-ts-820-productimage-1.jpg,Cirkulari,https://www.olx.ba/objava/brzaobjava/1580,"<div class=""product attribute description"">
    <strong class=""type""></strong>    <div class=""value"" >TC-TS 820 je višenamjenski stolni cirkular, namijenjen za ravno i poprečno rezanje svih vrsta drva. Rezni list se može zakretati sve do 45° za kosi rez. Zahvaljujući kompaktnoj konstrukciji i težini od svega 11.6 kg cirkular je idealan za prijenosnu uporabu. Paralelni graničnik sa dvije visine osigurava precizan rez.</div><br><div class=""data item content"" id=""label-technical_infos"" data-role=""content"">
                    <div class=""property-0 clearfix""><table><tr><th colspan=""2"" class=""heading gamma"">Technical Info</th></tr><tr class=""""><td><strong>Mrežni priključak</strong></td><td>230 V  |  50 Hz</td></tr><tr class=""grey""><td><strong>maks. Snaga (S2 | S2 vrijeme)</strong></td><td>800 W  |  10 min</td></tr><tr class=""""><td><strong>Brzina praznog hoda</strong></td><td>2950 min^-1</td></tr><tr class=""grey""><td><strong>Tračna traka</strong></td><td>200 mm  x  16 mm</td></tr><tr class=""""><td><strong>Okretni raspon oštrice</strong></td><td>45 °</td></tr><tr class=""grey""><td><strong>Maks. visina rezanja pod 45°</strong></td><td>35 mm</td></tr><tr class=""""><td><strong>Maks. visina rezanja pod 90°</strong></td><td>45 mm</td></tr><tr class=""grey""><td><strong>Prečnik usisnog priključka</strong></td><td>36 mm</td></tr><tr class=""""><td><strong>Veličina radnog stola</strong></td><td>500 mm  x  335 mm</td></tr></table><table><tr><th colspan=""2"" class=""heading gamma"">Logistical Info</th></tr><tr class=""""><td><strong>Dužina</strong></td><td>515 mm</td></tr><tr class=""grey""><td><strong>Širina</strong></td><td>355 mm</td></tr><tr class=""""><td><strong>Visina</strong></td><td>285 mm</td></tr><tr class=""grey""><td><strong>Bruto težina proizvoda</strong></td><td>12.4 kg</td></tr><tr class=""""><td><strong>Težina proizvoda</strong></td><td>10.65 kg</td></tr></table></div>"
https://www.einhell.ba/shop/bs-ba/tc-ms-2112-t.html,Preklopna pila sa stolom TC-MS 2112 T,4300317,Prazno polje,https:\\assets.einhell.com\im\imf\y400\900_388116\einhell-classic-preklopna-pila-sa-stolom-tc-ms-2112-t-productimage-1.jpg,Štuceri \(Potezni cirkulari\),https://www.olx.ba/objava/brzaobjava/1942,"<div class=""product attribute description"">
    <strong class=""type""></strong>    <div class=""value"" >Einhell kombinirana kružna i preklopna pila TC-MS 2112 T je kvalitetna pila za ambiciozne uradi sam majstore pomoću koje s lakoćom možete odrađivati manje poslove poprečnih i kutnih rezova u drvu, obloženim pločama i plastici. Zahvaljujući praktičnom, beskonačno podesivom stolu pile, TC-MS 2112 T možete koristiti i kao klasičnu stolnu kružnu pilu. Visokokvalitetno rotirajuće postolje ima precizno podešavanje kuta koje se može odrediti beskonačno i to samo s jednom rukom. Glava pile, isto tako beskonačno podesiva na lijevo, omogućava kose rezove i rubljenje u svaki potrebni kut do 45°. Radni materijali se mogu precizno odrezati zahvaljujući poprečnom i paralelnom graničniku te se mogu osloniti na dodatne produžetke sa svake strane pile. Priključak za usisavač prašine od 35 mm omogućuje čisto radno mjesto.</div><br><div class=""data item content"" id=""label-technical_infos"" data-role=""content"">
                    <div class=""property-0 clearfix""><table><tr><th colspan=""2"" class=""heading gamma"">Technical Info</th></tr><tr class=""""><td><strong>Mrežni priključak</strong></td><td>230 V  |  50 Hz</td></tr><tr class=""grey""><td><strong>Snaga</strong></td><td>1200 W</td></tr><tr class=""""><td><strong>Broj reznih zuba</strong></td><td>24 Pieces</td></tr><tr class=""grey""><td><strong>Brzina praznog hoda</strong></td><td>4500 min^-1</td></tr><tr class=""""><td><strong>Tračna traka</strong></td><td>30 mm  x  210 mm</td></tr><tr class=""grey""><td><strong>Funkcija rezača</strong></td><td>45 °</td></tr><tr class=""""><td><strong>Širina rezanja</strong></td><td>120 mm  x  55 mm</td></tr><tr class=""grey""><td><strong>Širina rezanja</strong></td><td>65 mm  x  55 mm</td></tr><tr class=""""><td><strong>Širina rezanja</strong></td><td>120 mm  x  35 mm</td></tr><tr class=""grey""><td><strong>Širina rezanja</strong></td><td>40 mm  x  23 mm</td></tr><tr class=""""><td><strong>Raspon zakretanja (stol pile)</strong></td><td>45 °  -  45 °</td></tr><tr class=""grey""><td><strong>Maks. visina rezanja pod 90°</strong></td><td>33 mm</td></tr><tr class=""""><td><strong>Kontinuirano podešavanje visine</strong></td><td>33 mm</td></tr><tr class=""grey""><td><strong>Veličina radnog stola</strong></td><td>360 mm  x  250 mm</td></tr></table><table><tr><th colspan=""2"" class=""heading gamma"">Logistical Info</th></tr><tr class=""""><td><strong>Dužina</strong></td><td>425 mm</td></tr><tr class=""grey""><td><strong>Širina</strong></td><td>405 mm</td></tr><tr class=""""><td><strong>Visina</strong></td><td>305 mm</td></tr><tr class=""grey""><td><strong>Bruto težina proizvoda</strong></td><td>12.18 kg</td></tr><tr class=""""><td><strong>Težina proizvoda</strong></td><td>9.39 kg</td></tr></table></div>"
https://www.einhell.ba/shop/bs-ba/tc-ro-1155-e.html,Električna ručna glodalica TC-RO 1155 E,4350470,Prazno polje,https:\\assets.einhell.com\im\imf\y400\900_389965\einhell-classic-elektri\u010dna-ru\u010dna-glodalica-tc-ro-1155-e-productimage-1.jpg,Ručne kočnice,https://www.olx.ba/objava/brzaobjava/2450,"<div class=""product attribute description"">
    <strong class=""type""></strong>    <div class=""value"" >Einhell TC-RO 1155 E glodalica je praktičan i snažan alat te nezamjenjiv pomagač ambicioznim uradi sam majstorima kod raznih poslova glodanja. Dubina glodanja je brzo podesiva pomoću okretnog bubnja uz dodatno fino podešavanje. Koristeći elektronsku regulaciju broja okretaja uređaj možete podesiti zahtjevu posla ili materijala. Za lakšu izmjenu glodala jamči blokada osovine, a sam dizajn uređaja povećava stabilnost u radu, a samim time i preciznost. Uz ovaj uređaj se mogu koristiti glodala s prihvatom promjera 6 mm i 8 mm. Moguće je priključiti usisavač pomoću adaptera kako bi održavali čistoću prostora. Uz uređaj se isporučuje paralelni graničnik, kružni granični, čahuru za prihvat glodala i alat za izmjenu glodala.</div><br><div class=""data item content"" id=""label-technical_infos"" data-role=""content"">
                    <div class=""property-0 clearfix""><table><tr><th colspan=""2"" class=""heading gamma"">Technical Info</th></tr><tr class=""""><td><strong>Mrežni priključak</strong></td><td>230-240 V  |  50 Hz</td></tr><tr class=""grey""><td><strong>Snaga</strong></td><td>1100 W</td></tr><tr class=""""><td><strong>Brzina praznog hoda</strong></td><td>11000 min^-1  -  30000 min^-1</td></tr><tr class=""grey""><td><strong>Visina podizanja</strong></td><td>55 mm</td></tr><tr class=""""><td><strong>Chip depth</strong></td><td>6 + 8 mm</td></tr><tr class=""grey""><td><strong>Rezač za oblikovanje max.</strong></td><td>30 mm</td></tr></table><table><tr><th colspan=""2"" class=""heading gamma"">Logistical Info</th></tr><tr class=""""><td><strong>Dužina</strong></td><td>287 mm</td></tr><tr class=""grey""><td><strong>Širina</strong></td><td>144 mm</td></tr><tr class=""""><td><strong>Visina</strong></td><td>230 mm</td></tr><tr class=""grey""><td><strong>Bruto težina proizvoda</strong></td><td>4.15 kg</td></tr><tr class=""""><td><strong>Težina proizvoda</strong></td><td>3 kg</td></tr></table></div>"
https://www.einhell.ba/shop/bs-ba/tc-mg-135-e.html,Alat za brušenje i graviranje TC-MG 135 E,4419169,Prazno polje,https:\\assets.einhell.com\im\imf\y400\900_392084\einhell-classic-alat-za-bru&scaron;enje-i-graviranje-tc-mg-135-e-productimage-1.jpg,Bušilice,https://www.olx.ba/objava/brzaobjava/1577,"<div class=""product attribute description"">
    <strong class=""type""></strong>    <div class=""value"" >Multifunkcionalna brusilica TC-MG 135 E sa raznolikim priborom za brušenje, bušenje, glodanje, poliranje i četkanje sa prihvatom koji omogućuje upotrebu različitih nastavaka. Blokada osovine pojednostavljuje izmjenu nastavaka. Elektronska regulacija broja okretaja prilagođava uređaj poslu i materijalu obrade. Uz ovaj uređaj je moguće koristiti produžni nastavak kako bi lakše pristupili nedostupnim mjestima. Tijekom rada s produžnim nastavkom bušilicu je moguće odložiti na teleskopski stalak. Dodatnih 189 nastavaka koji se isporučuju s ovim alatom jamče obavljanje raznih zahtjeva korisnika. Sve navedeno se isporučuje u praktičnom koferu. </div><br><div class=""data item content"" id=""label-technical_infos"" data-role=""content"">
                    <div class=""property-0 clearfix""><table><tr><th colspan=""2"" class=""heading gamma"">Technical Info</th></tr><tr class=""""><td><strong>Mrežni priključak</strong></td><td>230 V  |  50 Hz</td></tr><tr class=""grey""><td><strong>Snaga</strong></td><td>135 W</td></tr><tr class=""""><td><strong>Brzina praznog hoda</strong></td><td>10000 min^-1  -  35000 min^-1</td></tr></table><table><tr><th colspan=""2"" class=""heading gamma"">Logistical Info</th></tr><tr class=""""><td><strong>Dužina</strong></td><td>340 mm</td></tr><tr class=""grey""><td><strong>Širina</strong></td><td>218 mm</td></tr><tr class=""""><td><strong>Visina</strong></td><td>125 mm</td></tr><tr class=""grey""><td><strong>Bruto težina proizvoda</strong></td><td>2.5 kg</td></tr><tr class=""""><td><strong>Težina proizvoda</strong></td><td>0.67</td></tr></table></div>"
https://www.einhell.ba/shop/bs-ba/tc-hp-2042-pc.html,Visokotlačni perač TC-HP 2042 PC,4140730,Prazno polje,https:\\assets.einhell.com\im\imf\y400\900_349998\einhell-classic-visokotla\u010dni-pera\u010d-tc-hp-2042-pc-productimage-1.jpg,Za pranje i čišćenje,https://www.olx.ba/objava/brzaobjava/1183,"<div class=""product attribute description"">
    <strong class=""type""></strong>    <div class=""value"" >TC-HP 2042 PC je visokokvalitetni i snažni visokotlačni perač koji se odlikuje svojom snagom tijekom korištenja u mobilnim uvjetima radi svoje male i kompaktne konstrukcije. Odličan je za rad u vrtu, okućnici ili garaži, a čišćenje se može odraditi vrlo brzo i temeljito radi snage od 2.000 Watta i pritiska od 150 bara. Centralna drška i stabilni kotači dozvoljavaju vrlo jednostavnu i laganu vuču perača i opreme, koja uključuje čistač terase i regulator širokog mlaznog raspršivača.</div><br><div class=""data item content"" id=""label-technical_infos"" data-role=""content"">
                    <div class=""property-0 clearfix""><table><tr><th colspan=""2"" class=""heading gamma"">Technical Info</th></tr><tr class=""""><td><strong>Mrežni priključak</strong></td><td>220-240 V  |  50 Hz</td></tr><tr class=""grey""><td><strong>Snaga</strong></td><td>2000 W</td></tr><tr class=""""><td><strong>Pressure max.</strong></td><td>150 bar</td></tr><tr class=""grey""><td><strong>Maks. temperatura vode</strong></td><td>60 °C</td></tr><tr class=""""><td><strong>Maks. ulazni tlak</strong></td><td>6 bar</td></tr><tr class=""grey""><td><strong>Dužina visokotlačnog crijeva</strong></td><td>6 m</td></tr></table><table><tr><th colspan=""2"" class=""heading gamma"">Logistical Info</th></tr><tr class=""""><td><strong>Dužina</strong></td><td>320 mm</td></tr><tr class=""grey""><td><strong>Širina</strong></td><td>310 mm</td></tr><tr class=""""><td><strong>Visina</strong></td><td>655 mm</td></tr><tr class=""grey""><td><strong>Bruto težina proizvoda</strong></td><td>10.95 kg</td></tr><tr class=""""><td><strong>Težina proizvoda</strong></td><td>6.88 kg</td></tr></table></div>"
https://www.einhell.ba/shop/bs-ba/tc-hp-1538-pc.html,Visokotlačni perač TC-HP 1538 PC,4140720,Prazno polje,https:\\assets.einhell.com\im\imf\y400\900_349834\einhell-classic-visokotla\u010dni-pera\u010d-tc-hp-1538-pc-productimage-1.jpg,Za pranje i čišćenje,https://www.olx.ba/objava/brzaobjava/1183,"<div class=""product attribute description"">
    <strong class=""type""></strong>    <div class=""value"" >TC-HP 1538 PC je visokokvalitetni i snažni visokotlačni perač koji se odlikuje svojom snagom tijekom korištenja u mobilnim uvjetima radi svoje male i kompaktne konstrukcije. Odličan je za rad u vrtu, okućnici ili garaži, a čišćenje se može odraditi vrlo brzo i temeljito radi snage od 1.500 Watta i pritiska od 110 bara. Zbog svojeg spremnika deterdženta od 0.45 litara čak i zahtjevni zadaci poput pranja vozila ili fasade mogu biti jednostavno i temeljito obavljeni. Centralna drška i stabilni kotači dozvoljavaju vrlo jednostavnu i laganu vuču perača i opreme, koja uključuje čistač terase i regulator širokog mlaznog raspršivača.</div><br><div class=""data item content"" id=""label-technical_infos"" data-role=""content"">
                    <div class=""property-0 clearfix""><table><tr><th colspan=""2"" class=""heading gamma"">Technical Info</th></tr><tr class=""""><td><strong>Mrežni priključak</strong></td><td>220-240 V  |  50 Hz</td></tr><tr class=""grey""><td><strong>Snaga</strong></td><td>1500 W</td></tr><tr class=""""><td><strong>Pressure max.</strong></td><td>110 bar</td></tr><tr class=""grey""><td><strong>Maks. temperatura vode</strong></td><td>60 °C</td></tr><tr class=""""><td><strong>Maks. ulazni tlak</strong></td><td>6 bar</td></tr><tr class=""grey""><td><strong>Dužina visokotlačnog crijeva</strong></td><td>5 m</td></tr></table><table><tr><th colspan=""2"" class=""heading gamma"">Logistical Info</th></tr><tr class=""""><td><strong>Dužina</strong></td><td>320 mm</td></tr><tr class=""grey""><td><strong>Širina</strong></td><td>310 mm</td></tr><tr class=""""><td><strong>Visina</strong></td><td>635 mm</td></tr><tr class=""grey""><td><strong>Bruto težina proizvoda</strong></td><td>10.15 kg</td></tr><tr class=""""><td><strong>Težina proizvoda</strong></td><td>6.23 kg</td></tr></table></div>"
